F,G,H,L,M,N,sigma0,k,n
0.2203,0.2734,0.7266,1.5,1.5,2.3215,132.19,679.89,0.179
0.2345,0.2405,0.7595,1.5,1.5,1.6957,178.55,519.35,0.288
0.1773,0.2319,0.7681,1.5,1.5,1.061,160.69,514.45,0.28
0.4317,0.1725,0.8275,1.5,1.5,2.387,160.14,627.38,0.206
0.7589,0.2077,0.7923,1.5,1.5,1.9893,193.99,614.32,0.262
0.3261,0.229,0.771,1.5,1.5,2.6004,160.24,348.12,0.212
0.6131,0.1453,0.8547,1.5,1.5,1.4721,194.11,631.1,0.273
0.1391,0.24,0.76,1.5,1.5,1.7152,234.69,662.94,0.202
0.2928,0.2695,0.7305,1.5,1.5,1.3646,155.66,517.84,0.267
0.1497,0.2171,0.7829,1.5,1.5,0.4398,254.33,699.57,0.214
0.4827,0.1529,0.8471,1.5,1.5,1.84,143.64,665.77,0.225
0.1131,0.3439,0.6561,1.5,1.5,1.1712,231.87,531.56,0.244
0.1576,0.291,0.709,1.5,1.5,1.9558,276.2,591.15,0.298
0.1475,0.1505,0.8495,1.5,1.5,1.282,226.89,565.97,0.212
0.0703,0.6242,0.3758,1.5,1.5,1.5042,183.98,459.38,0.237
0.2176,0.3619,0.6381,1.5,1.5,1.3745,226.13,563.8,0.272
0.1244,0.2543,0.7457,1.5,1.5,2.4066,199.9,413.19,0.28
0.1818,0.1817,0.8183,1.5,1.5,0.6215,148.4,408.51,0.271
0.6251,0.1598,0.8402,1.5,1.5,5.0779,196.33,625.39,0.292
0.3499,0.1621,0.8379,1.5,1.5,2.6329,215.58,683.26,0.291
0.3202,0.1721,0.8279,1.5,1.5,1.9561,222.0,520.11,0.251
0.3336,0.1831,0.8169,1.5,1.5,1.5624,215.24,635.43,0.282
0.3061,0.2415,0.7585,1.5,1.5,3.4859,280.44,687.67,0.282
0.1448,0.3441,0.6559,1.5,1.5,2.2796,135.81,495.94,0.294
0.3093,0.2871,0.7129,1.5,1.5,2.1667,182.18,426.06,0.289
0.1356,0.2899,0.7101,1.5,1.5,1.484,188.62,560.06,0.243
0.0767,0.5485,0.4515,1.5,1.5,1.3137,143.3,351.22,0.288
0.1368,0.2552,0.7448,1.5,1.5,2.4574,152.96,494.67,0.165
0.1969,0.1594,0.8406,1.5,1.5,1.0895,157.75,423.91,0.27
0.3103,0.1577,0.8423,1.5,1.5,2.9212,158.28,526.1,0.252
0.1641,0.2288,0.7712,1.5,1.5,2.2074,280.71,651.26,0.227
0.1,0.5063,0.4937,1.5,1.5,1.3424,234.06,618.97,0.296
0.1454,0.4008,0.5992,1.5,1.5,2.2532,194.49,695.36,0.265
1.0092,0.229,0.771,1.5,1.5,6.384,131.36,351.36,0.245
0.2928,0.427,0.573,1.5,1.5,3.5565,148.95,395.92,0.206
0.1797,0.1766,0.8234,1.5,1.5,2.0405,172.38,409.6,0.246
0.1153,0.3801,0.6199,1.5,1.5,2.7968,256.84,562.63,0.211
0.1561,0.2788,0.7212,1.5,1.5,1.2006,182.79,630.38,0.219
0.1361,0.3349,0.6651,1.5,1.5,1.3969,210.24,540.74,0.287
0.1763,0.2086,0.7914,1.5,1.5,0.6066,130.25,547.06,0.291
0.1108,0.3582,0.6418,1.5,1.5,2.4151,138.53,362.97,0.195
0.4809,0.1532,0.8468,1.5,1.5,2.4963,221.02,629.27,0.218
0.5296,0.4985,0.5015,1.5,1.5,3.9951,191.11,609.02,0.234
0.1694,0.1806,0.8194,1.5,1.5,1.6499,251.65,543.51,0.251
0.1591,0.1638,0.8362,1.5,1.5,1.5051,197.28,569.95,0.225
0.2207,0.2357,0.7643,1.5,1.5,1.69,202.99,613.99,0.285
0.5792,0.1543,0.8457,1.5,1.5,4.5246,122.55,594.47,0.193
0.3086,0.1946,0.8054,1.5,1.5,1.43,191.6,653.28,0.211
0.113,0.4376,0.5624,1.5,1.5,1.2748,139.43,621.03,0.233
0.664,0.2955,0.7045,1.5,1.5,4.9088,150.65,558.71,0.171
0.4198,0.2432,0.7568,1.5,1.5,2.6378,165.62,405.31,0.295
0.1524,0.2162,0.7838,1.5,1.5,0.6376,177.32,639.22,0.25
0.4455,0.3932,0.6068,1.5,1.5,2.751,218.16,529.26,0.252
0.1411,0.1753,0.8247,1.5,1.5,1.5752,290.69,621.56,0.239
0.2988,0.1466,0.8534,1.5,1.5,1.7376,198.4,456.65,0.194
0.175,0.1787,0.8213,1.5,1.5,1.5589,149.06,469.79,0.29
0.4057,0.3021,0.6979,1.5,1.5,1.5587,250.8,686.42,0.193
0.1968,0.2594,0.7406,1.5,1.5,1.0561,152.28,320.47,0.285
1.0052,0.1868,0.8132,1.5,1.5,4.2184,136.68,430.45,0.296
0.2564,0.1507,0.8493,1.5,1.5,2.0772,253.43,533.68,0.263
0.1728,0.4973,0.5027,1.5,1.5,3.8801,158.65,653.18,0.299
0.1331,0.5171,0.4829,1.5,1.5,4.0448,129.35,339.44,0.286
0.173,0.2796,0.7204,1.5,1.5,2.0014,275.08,653.79,0.204
0.2318,0.1981,0.8019,1.5,1.5,1.7024,126.29,291.28,0.242
0.5283,0.1817,0.8183,1.5,1.5,1.9759,225.92,546.61,0.202
0.1694,0.2614,0.7386,1.5,1.5,1.3308,291.85,697.83,0.187
0.4051,0.262,0.738,1.5,1.5,3.9609,185.48,613.0,0.29
0.4709,0.1793,0.8207,1.5,1.5,3.7456,120.18,644.29,0.278
0.0835,0.5181,0.4819,1.5,1.5,2.1057,200.69,513.26,0.238
0.1289,0.2497,0.7503,1.5,1.5,0.8583,140.7,338.82,0.195
0.9281,0.1963,0.8037,1.5,1.5,3.282,227.72,683.96,0.241
